end,user,0.00038786622462794185
firing,line,0.0023544076830148697
game,plan,0.0009688215213827789
application,form,0.00016264209989458323
snail,mail,0.9158030152320862
web,site,0.0006082028849050403
flea,market,0.05908411741256714
grandfather,clock,0.00019223794515710324
diamond,wedding,0.00013894421863369644
guilt,trip,0.017865262925624847
silver,spoon,0.9495276808738708
rush,hour,0.0003359618131071329
china,clay,0.9391184449195862
cocktail,dress,0.0005339948693290353
mailing,list,0.0036959261633455753
spelling,bee,0.017999466508626938
public,service,0.0001729009672999382
head,teacher,0.0002345140528632328
video,game,0.0001910283463075757
spinning,jenny,0.9854207634925842
think,tank,0.7422594428062439
cash,cow,0.6015297770500183
swan,song,0.00461767241358757
monkey,business,0.0013257911195978522
snake,oil,0.00012395014346111566
smoking,gun,0.9804507493972778
balance,sheet,0.00020668382057920098
zebra,crossing,0.09359274059534073
cutting,edge,0.00048142363084480166
radio,station,0.0002568129275459796
search,engine,0.0006565945805050433
shrinking,violet,0.002053637057542801
face,value,0.5227077007293701
human,being,0.00023728187079541385
sacred,cow,0.00014275273133534938
number,crunching,0.9795255661010742
silver,screen,0.040478501468896866
melting,pot,0.0030306847766041756
kangaroo,court,0.9977155923843384
ground,floor,0.00012207316467538476
rat,run,0.9988186955451965
law,firm,0.00021800184913445264
polo,shirt,0.0036402596160769463
ivory,tower,0.0004968136199750006
lip,service,0.5530374646186829
health,insurance,0.0003293451154604554
couch,potato,0.020652102306485176
chain,reaction,0.0011015844065696
silver,bullet,0.3581245541572571
graduate,student,0.0001069280260708183
cloud,nine,0.002296026796102524
front,runner,0.9996488094329834
agony,aunt,0.9922925233840942
rock,bottom,0.7643207311630249
acid,test,0.00016686490562278777
climate,change,0.0011628384236246347
lotus,position,0.9813311696052551
sitting,duck,0.0006557066226378083
car,park,0.1282689869403839
gold,mine,0.0025380104780197144
gravy,train,0.06842707097530365
case,study,0.0015574084827676415
night,owl,0.9950721859931946
pecking,order,0.9940001964569092
eye,candy,0.9927220940589905
nest,egg,0.5655460953712463
role,model,0.9860582947731018
fashion,plate,0.00027314788894727826
crocodile,tear,0.00016024528304114938
rat,race,0.9996862411499023
crash,course,0.007345531135797501
rocket,science,0.0003427862247917801
memory,lane,0.010278750211000443
smoking,jacket,0.003160086926072836
interest,rate,0.00015176694432739168
engine,room,0.00025139114586636424
blame,game,0.002973963273689151
brass,ring,0.0006936672725714743
panda,car,0.0023484318517148495
research,project,0.0006032633245922625
call,centre,0.0003346551675349474
graveyard,shift,0.0001951509329956025
credit,card,0.0004014814330730587
cheat,sheet,0.0023133261129260063
parking,lot,0.00018920186266768724
fine,line,0.0001965183182619512
brick,wall,0.00023122475249692798
speed,limit,0.021926891058683395
swimming,pool,0.004210696555674076
bank,account,0.0005394271574914455
