flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,PURPOSE
flea,market,LEXICALIZED
flea,market,LEXICALIZED
drug,office,CREATE-PROVIDE-GENERATE-SELL
drug,office,CREATE-PROVIDE-GENERATE-SELL
drug,office,CREATE-PROVIDE-GENERATE-SELL
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,MEANS
question,mark,OBJECTIVE
market,development,OBJECTIVE
market,development,EQUATIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
campus,newspaper,LOCATION
campus,newspaper,OBTAIN&ACCESS&SEEK
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
wheat,expert,TOPIC_OF_EXPERT
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,USER_RECIPIENT
transformation,process,EQUATIVE
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,EQUATIVE
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,OBJECTIVE
media,sector,PERFORM&ENGAGE_IN
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,LOCATION
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,MEANS
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,EQUATIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
race,organizer,OBJECTIVE
race,organizer,OBJECTIVE
holiday,break,TOPIC
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,OWNER-USER
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
