flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
flea,market,LEXICALIZED
drug,office,CREATE-PROVIDE-GENERATE-SELL
drug,office,CREATE-PROVIDE-GENERATE-SELL
drug,office,CREATE-PROVIDE-GENERATE-SELL
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
question,mark,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,PURPOSE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
market,development,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
debt,servicing,OBJECTIVE
campus,newspaper,LOCATION
campus,newspaper,OBJECTIVE
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
campus,newspaper,LOCATION
wheat,expert,TOPIC_OF_EXPERT
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,EQUATIVE
transformation,process,PURPOSE
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
garment,industry,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,OBJECTIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,EQUATIVE
cover,letter,PURPOSE
cover,letter,EQUATIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,TOPIC
election,analyst,TOPIC
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
election,analyst,OBJECTIVE
race,organizer,OBJECTIVE
race,organizer,OBJECTIVE
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
holiday,break,TIME-OF1
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
lumber,company,CREATE-PROVIDE-GENERATE-SELL
