business,asset,OWNER-USER
deregulation,package,PERFORM&ENGAGE_IN
budget,plan,OBJECTIVE
hours,days,MEASURE
deputy,commander,EQUATIVE
sister,organization,EQUATIVE
acre,tract,MEASURE
brokerage,company,PERFORM&ENGAGE_IN
media,executive,RELATIONAL-NOUN-COMPLEMENT
listing,agent,PERFORM&ENGAGE_IN
telecommunication,subcommittee,ORGANIZE&SUPERVISE&AUTHORITY
strike,force,PERFORM&ENGAGE_IN
career,development,OBJECTIVE
market,swing,SUBJECT
food,stock,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
plate,umpire,LOCATION
day,trading,MEASURE
stomach,ulcer,LOCATION
city,population,LOCATION
ballot,paper,EQUATIVE
food,grinder,OBJECTIVE
core,pro,ADJ-LIKE_NOUN
automobile,accident,OTHER
market,official,ORGANIZE&SUPERVISE&AUTHORITY
trading,desk,PERFORM&ENGAGE_IN
art,expert,TOPIC_OF_EXPERT
printing,house,PERFORM&ENGAGE_IN
subcommittee,hearing,SUBJECT
yard,dash,MEASURE
bank,unit,WHOLE+PART_OR_MEMBER_OF
car,ownership,OBJECTIVE
market,drop,SUBJECT
finance,division,PERFORM&ENGAGE_IN
beverage,can,CONTAIN
landmark,status,WHOLE+ATTRIBUTE&FEATURE&QUALITY_VALUE_IS_CHARACTERISTIC_OF
hour,channel,MEASURE
performance,rating,OBJECTIVE
moisture,content,SUBSTANCE-MATERIAL-INGREDIENT
city,police,EMPLOYER
team,captain,EMPLOYER
service,employee,CREATE-PROVIDE-GENERATE-SELL
slot,machine,OTHER
abortion,right,PERFORM&ENGAGE_IN
theater,people,OTHER
fuel,truck,PURPOSE
caucus,state,LEXICALIZED
Dr.,Fitzwater,PERSONAL_NAME
core,homeless,ADJ-LIKE_NOUN
paper,pulp,SUBSTANCE-MATERIAL-INGREDIENT
hurricane,warning,TOPIC
market,town,CONTAIN
industry,regulation,OBJECTIVE
barge,rate,RELATIONAL-NOUN-COMPLEMENT
security,procedure,CREATE-PROVIDE-GENERATE-SELL
phone,operation,CREATE-PROVIDE-GENERATE-SELL
security,spokesman,EMPLOYER
stage,appearance,LOCATION
meter,team,MEASURE
opposition,rally,SUBJECT
power,failure,OBJECTIVE
labor,charge,EQUATIVE
labor,unrest,EXPERIENCER-OF-EXPERIENCE
safety,precaution,CREATE-PROVIDE-GENERATE-SELL
party,meeting,SUBJECT
purification,system,PERFORM&ENGAGE_IN
enforcement,official,ORGANIZE&SUPERVISE&AUTHORITY
ground,invasion,LOCATION
aids,pandemic,RELATIONAL-NOUN-COMPLEMENT
travel,book,TOPIC
cell,phone,EQUATIVE
cable,group,CREATE-PROVIDE-GENERATE-SELL
loan,payment,OBJECTIVE
album,chart,TOPIC
science,story,TOPIC
barge,shipment,MEANS
water,alert,TOPIC
syphilis,transmission,OBJECTIVE
funnel,cloud,PARTIAL_ATTRIBUTE_TRANSFER
retirement,living,OTHER
eye,makeup,LOCATION
cafeteria,worker,LOCATION
quarterback,rating,OBJECTIVE
spending,measure,PERFORM&ENGAGE_IN
construction,area,PERFORM&ENGAGE_IN
election,authority,ORGANIZE&SUPERVISE&AUTHORITY
comedy,routine,EQUATIVE
marketing,problem,OTHER
safety,officer,CREATE-PROVIDE-GENERATE-SELL
training,technique,PERFORM&ENGAGE_IN
devil,worship,OBJECTIVE
football,club,PERFORM&ENGAGE_IN
day,search,MEASURE
advertising,market,OTHER
goods,retailer,OBJECTIVE
fruit,grower,OBJECTIVE
loading,dock,PERFORM&ENGAGE_IN
day,result,MEASURE
nationality,law,TOPIC
protest,rally,PERFORM&ENGAGE_IN
budget,change,OBJECTIVE
meters,record,MEASURE
police,official,EMPLOYER
investor,concern,EXPERIENCER-OF-EXPERIENCE
greenhouse,emission,OBJECTIVE
commentary,category,EQUATIVE
point,basket,MEASURE
shoulder,harness,LOCATION
labor,organization,OTHER
government,expense,SUBJECT
immunity,deal,TOPIC
property,damage,LOCATION
year,issue,MEASURE
hit,single,EQUATIVE
interview,process,PERFORM&ENGAGE_IN
mile,area,MEASURE
management,style,RELATIONAL-NOUN-COMPLEMENT
portfolio,manager,OBJECTIVE
management,consulting,TOPIC
river,traffic,LOCATION
payment,terms,TOPIC
missile,plan,OBJECTIVE
procurement,official,ORGANIZE&SUPERVISE&AUTHORITY
acquisition,strategy,PERFORM&ENGAGE_IN
pay,hike,OBJECTIVE
percentage,terms,OTHER
quality,state,MEASURE
km,southwest,MEASURE
networking,company,PERFORM&ENGAGE_IN
cocktail,connoisseur,RELATIONAL-NOUN-COMPLEMENT
telephone,card,OBTAIN&ACCESS&SEEK
budget,increase,OBJECTIVE
drug,problem,OTHER
surprise,visit,EQUATIVE
newspaper,publisher,OBJECTIVE
profit,gain,OBJECTIVE
crunch,time,TIME-OF2
plane,ride,OBJECTIVE
family,decision,SUBJECT
commerce,department,PERFORM&ENGAGE_IN
dollar,sign,RELATIONAL-NOUN-COMPLEMENT
program,development,OBJECTIVE
maintenance,record,RELATIONAL-NOUN-COMPLEMENT
taxation,system,PERFORM&ENGAGE_IN
poultry,plant,PURPOSE
blood,center,CREATE-PROVIDE-GENERATE-SELL
independence,referendum,TOPIC
yard,freestyle,MEASURE
contact,sport,OTHER
combat,activity,PERFORM&ENGAGE_IN
plot,twist,OBJECTIVE
deficit,problem,OTHER
price,regulation,OBJECTIVE
drug,program,CREATE-PROVIDE-GENERATE-SELL
world,environment,LOCATION
counseling,program,PERFORM&ENGAGE_IN
acid,corrosion,SUBJECT
investigation,subcommittee,PERFORM&ENGAGE_IN
oil,discovery,OBJECTIVE
lead,exposure,OTHER
commerce,committee,PERFORM&ENGAGE_IN
draft,decree,EQUATIVE
media,source,EMPLOYER
soybean,futures,OTHER
biotechnology,concern,OTHER
cough,syrup,MITIGATE&OPPOSE
investor,withdrawal,SUBJECT
deputy,assistant,EQUATIVE
minority,worker,WHOLE+PART_OR_MEMBER_OF
week,vacation,MEASURE
reconstruction,program,PERFORM&ENGAGE_IN
deputy,representative,EQUATIVE
core,principle,ADJ-LIKE_NOUN
settlement,system,PERFORM&ENGAGE_IN
junk,bond,EQUATIVE
study,program,PERFORM&ENGAGE_IN
rest,area,PERFORM&ENGAGE_IN
Gen.,Eisenhower,PERSONAL_NAME
watch,production,OBJECTIVE
call,volume,AMOUNT-OF
amnesty,program,CREATE-PROVIDE-GENERATE-SELL
failure,rate,RELATIONAL-NOUN-COMPLEMENT
conference,report,TOPIC
emergency,trip,TIME-OF1
exam,time,TIME-OF2
rate,futures,OTHER
banking,activity,EQUATIVE
construction,material,PERFORM&ENGAGE_IN
conspiracy,theorist,TOPIC
marketplace,column,TOPIC
death,camp,PERFORM&ENGAGE_IN
town,official,EMPLOYER
program,quality,RELATIONAL-NOUN-COMPLEMENT
coordination,committee,PERFORM&ENGAGE_IN
tea,forum,OTHER
parliament,member,WHOLE+PART_OR_MEMBER_OF
cancer,surgery,MITIGATE&OPPOSE
shadow,government,LOCATION
banking,share,RELATIONAL-NOUN-COMPLEMENT
currency,regulation,OBJECTIVE
intelligence,community,PERFORM&ENGAGE_IN
discount,rate,LEXICALIZED
relief,work,PERFORM&ENGAGE_IN
circuit,board,CONTAIN
design,studio,PERFORM&ENGAGE_IN
classified ad,volume,AMOUNT-OF
apple,cider,SUBSTANCE-MATERIAL-INGREDIENT
performance,problem,OTHER
confidence,index,OBJECTIVE
travel,manager,OBJECTIVE
folk,architecture,LEXICALIZED
day,congress,MEASURE
contract,award,OBJECTIVE
backup,catcher,PERFORM&ENGAGE_IN
election,ballot,PURPOSE
marathon,meeting,PARTIAL_ATTRIBUTE_TRANSFER
police,statement,SUBJECT
fund,research,OBJECTIVE
storm,cloud,CREATE-PROVIDE-GENERATE-SELL
party,primary,OWNER-USER
animal,urine,CREATOR-PROVIDER-CAUSE_OF
gold,coin,SUBSTANCE-MATERIAL-INGREDIENT
rocket,launch,OBJECTIVE
ethylene,oxide,SUBSTANCE-MATERIAL-INGREDIENT
month,trial,MEASURE
peace,agreement,TOPIC
laser,light,EQUATIVE
redevelopment,area,CONTAIN
field,office,LOCATION
injection,system,PERFORM&ENGAGE_IN
oil,export,OBJECTIVE
water,policy,TOPIC
chimney,dirt,LOCATION
empowerment,zone,PERFORM&ENGAGE_IN
storage,product,PERFORM&ENGAGE_IN
student,militia,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
redemption,amount,AMOUNT-OF
weight,loss,OBJECTIVE
child,mortality,RELATIONAL-NOUN-COMPLEMENT
rat,excrement,CREATOR-PROVIDER-CAUSE_OF
relationship,damage,OBJECTIVE
state,speaker,EMPLOYER
beer,commercial,TOPIC
meat,consumption,OBJECTIVE
market,index,OBJECTIVE
background,information,TOPIC
golf,shirt,PERFORM&ENGAGE_IN
sport,team,PERFORM&ENGAGE_IN
expense,control,OBJECTIVE
arms,program,CREATE-PROVIDE-GENERATE-SELL
swing,district,PERFORM&ENGAGE_IN
bank,service,SUBJECT
movie,deal,TOPIC
quarter,report,TOPIC
world,stability,RELATIONAL-NOUN-COMPLEMENT
sister,publication,EQUATIVE
ambulance,crew,LOCATION
equity,injection,OBJECTIVE
completion,date,TIME-OF2
jazz,pianist,CREATE-PROVIDE-GENERATE-SELL
butterfly,final,EQUATIVE
data,equipment,PURPOSE
breakup,buzz,TOPIC
employee,contribution,SUBJECT
reference,material,EQUATIVE
lettuce,leaf,WHOLE+PART_OR_MEMBER_OF
site,manager,OBJECTIVE
court,protection,SUBJECT
television,ministry,LOCATION
credit,squeeze,OTHER
cholera,epidemic,RELATIONAL-NOUN-COMPLEMENT
fledgling,eagle,EQUATIVE
airport,tarmac,LOCATION
christian,fundamentalist,EQUATIVE
stop-loss,order,OBJECTIVE
food,label,LOCATION
index,futures,OTHER
shoe,shop,CREATE-PROVIDE-GENERATE-SELL
automobile,instrument,WHOLE+PART_OR_MEMBER_OF
conflict,prevention,OBJECTIVE
star,hairdo,USER_RECIPIENT
food,plant,CREATE-PROVIDE-GENERATE-SELL
family,photograph,TOPIC
drum,machine,EQUATIVE
housing,developer,OBJECTIVE
transportation,issue,TOPIC
x-ray,scan,MEANS
labor,member,WHOLE+PART_OR_MEMBER_OF
tourism,development,OBJECTIVE
management,division,PERFORM&ENGAGE_IN
parachute,infantry,MEANS
program,director,OBJECTIVE
member,agent,EQUATIVE
oil,delivery,OBJECTIVE
campus,building,LOCATION
coloratura,ornament,PURPOSE
food,poisoning,SUBJECT
doubles,partner,PERFORM&ENGAGE_IN
chief,torturer,ADJ-LIKE_NOUN
hours,text,MEASURE
home,turf,LOCATION
semiconductor,chip,CONTAIN
energy,source,RELATIONAL-NOUN-COMPLEMENT
lead,manager,EQUATIVE
race,leader,OBJECTIVE
baseball,coach,OBJECTIVE
evening,meeting,TIME-OF1
food,guru,TOPIC_OF_EXPERT
state,assemblyman,EMPLOYER
museum,exhibition,LOCATION
pneumonia,toll,AMOUNT-OF
land,developer,OBJECTIVE
video,service,CREATE-PROVIDE-GENERATE-SELL
train,car,WHOLE+PART_OR_MEMBER_OF
state,border,RELATIONAL-NOUN-COMPLEMENT
breeding,program,PERFORM&ENGAGE_IN
vaccination,death,CREATOR-PROVIDER-CAUSE_OF
campaign,spokesman,EMPLOYER
confidence,level,AMOUNT-OF
consumer,market,PURPOSE
quarterback,coach,OBJECTIVE
family,recipe,OWNER-USER
space,satellite,LOCATION
market,fluctuation,SUBJECT
poetry,reading,OBJECTIVE
coffee,sipper,OBJECTIVE
sham,deal,EQUATIVE
highlight,reel,TOPIC
laboratory,technician,LOCATION
cell,destruction,OBJECTIVE
publishing,venture,PERFORM&ENGAGE_IN
telephone,carrier,OBJECTIVE
research,community,PERFORM&ENGAGE_IN
energy,broker,OBJECTIVE
government,package,OWNER-USER
physics,professor,TOPIC
noodle,soup,SUBSTANCE-MATERIAL-INGREDIENT
worker,movement,SUBJECT
hardware,sale,OBJECTIVE
repertory,theater,PERFORM&ENGAGE_IN
wine,list,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
investigation,report,TOPIC
tomorrow,afternoon,TIME-OF1
dog,house,USER_RECIPIENT
state,institution,OWNER-USER
email,address,PERFORM&ENGAGE_IN
video,recorder,OBJECTIVE
physician,symposium,USER_RECIPIENT
