war,criminal,OTHER
business,use,SUBJECT
ticket,pricing,OBJECTIVE
tobacco,stock,OTHER
laboratory,work,LOCATION
party,representative,WHOLE+PART_OR_MEMBER_OF
index,trader,OBJECTIVE
highway,department,ORGANIZE&SUPERVISE&AUTHORITY
chest,disease,LOCATION
Gen.,Blumenthal,PERSONAL_TITLE
teaspoons,sugar,MEASURE
district,authorities,ORGANIZE&SUPERVISE&AUTHORITY
office,job,LOCATION
jail,overcrowding,LOCATION
city,policy,TOPIC
softball,team,PERFORM&ENGAGE_IN
government,sale,SUBJECT
exchange,house,PERFORM&ENGAGE_IN
ice,sample,SUBSTANCE-MATERIAL-INGREDIENT
computer,market,OTHER
grain,yield,RELATIONAL-NOUN-COMPLEMENT
bank,earnings,CREATOR-PROVIDER-CAUSE_OF
staff,turnover,SUBJECT
alphabet,soup,TOPIC
animal,dung,CREATOR-PROVIDER-CAUSE_OF
race,organizer,OBJECTIVE
labour,member,WHOLE+PART_OR_MEMBER_OF
morale,problem,OTHER
radiation,treatment,MEANS
surveillance,technology,PERFORM&ENGAGE_IN
bathing,suit,PERFORM&ENGAGE_IN
bomb,attack,MEANS
student,killing,SUBJECT
ticket,information,TOPIC
boundary,change,OBJECTIVE
reservoir,area,CONTAIN
interest,firm,OTHER
publishing,industry,PERFORM&ENGAGE_IN
machine,dryer,EQUATIVE
marketing,job,PERFORM&ENGAGE_IN
coffee,house,CREATE-PROVIDE-GENERATE-SELL
production,company,PERFORM&ENGAGE_IN
state,program,OWNER-USER
return,flight,PERFORM&ENGAGE_IN
market,operator,OBJECTIVE
capacity,utilisation,OBJECTIVE
supplier,credit,CREATOR-PROVIDER-CAUSE_OF
telecommunication,group,PERFORM&ENGAGE_IN
theater,location,LOCATION
staff,worker,WHOLE+PART_OR_MEMBER_OF
appeal,hearing,TOPIC
care,organization,CREATE-PROVIDE-GENERATE-SELL
car,marketer,OBJECTIVE
signatory,state,EQUATIVE
chicken,feed,MEANS
industry,calm,SUBJECT
kidney,dialysis,MEANS
upside,potential,OTHER
grace,period,TIME-OF2
party,organizer,OBJECTIVE
month,ending,MEASURE
discrimination,lawsuit,OTHER
computer,drive,MEANS
party,post,OWNER-USER
today,meeting,TIME-OF1
apartment,noise,LOCATION
cleaning,agent,PERFORM&ENGAGE_IN
plate,appearance,LOCATION
workforce,reduction,OBJECTIVE
ticket,sale,OBJECTIVE
cult,classic,TIME-OF1
year,passage,MEASURE
birth,mother,OTHER
wish,list,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
mortgage,seeker,OBJECTIVE
hour,channel,MEASURE
misconduct,case,OTHER
family,greed,SUBJECT
arm,agreement,TOPIC
inflation,worry,TOPIC
diaper,cover,OTHER
refining,margin,OTHER
chip,sale,OBJECTIVE
government,fund,OWNER-USER
borrowing,authority,ORGANIZE&SUPERVISE&AUTHORITY
pedestrian,interview,SUBJECT
decibel,level,MEASURE
bank,blast,LOCATION
battle,zone,PERFORM&ENGAGE_IN
hitting,streak,PERFORM&ENGAGE_IN
brand,switcher,OBJECTIVE
toad,gene,MEANS
employment,law,TOPIC
reporter,question,SUBJECT
interest,deduction,OBJECTIVE
price,index,OBJECTIVE
