war,criminal,OTHER
business,use,SUBJECT
ticket,pricing,OBJECTIVE
tobacco,stock,RELATIONAL-NOUN-COMPLEMENT
laboratory,work,LOCATION
party,representative,EMPLOYER
index,trader,OBJECTIVE
highway,department,EMPLOYER
chest,disease,LOCATION
Gen.,Blumenthal,PERSONAL_TITLE
teaspoons,sugar,MEASURE
district,authorities,EMPLOYER
office,job,LOCATION
jail,overcrowding,LOCATION
city,policy,EXPERIENCER-OF-EXPERIENCE
softball,team,PERFORM&ENGAGE_IN
government,sale,SUBJECT
exchange,house,PERFORM&ENGAGE_IN
ice,sample,SUBSTANCE-MATERIAL-INGREDIENT
computer,market,PURPOSE
grain,yield,AMOUNT-OF
bank,earnings,OWNER-USER
staff,turnover,OBJECTIVE
alphabet,soup,LEXICALIZED
animal,dung,CREATOR-PROVIDER-CAUSE_OF
race,organizer,OBJECTIVE
labour,member,WHOLE+PART_OR_MEMBER_OF
morale,problem,OTHER
radiation,treatment,MEANS
surveillance,technology,PERFORM&ENGAGE_IN
bathing,suit,PERFORM&ENGAGE_IN
bomb,attack,MEANS
student,killing,OBJECTIVE
ticket,information,TOPIC
boundary,change,OBJECTIVE
reservoir,area,CONTAIN
interest,firm,PERFORM&ENGAGE_IN
publishing,industry,PERFORM&ENGAGE_IN
machine,dryer,EQUATIVE
marketing,job,PERFORM&ENGAGE_IN
coffee,house,CREATE-PROVIDE-GENERATE-SELL
production,company,PERFORM&ENGAGE_IN
state,program,OWNER-USER
return,flight,PERFORM&ENGAGE_IN
market,operator,OBJECTIVE
capacity,utilisation,OBJECTIVE
supplier,credit,CREATOR-PROVIDER-CAUSE_OF
telecommunication,group,PERFORM&ENGAGE_IN
theater,location,LOCATION
staff,worker,WHOLE+PART_OR_MEMBER_OF
appeal,hearing,TOPIC
care,organization,CREATE-PROVIDE-GENERATE-SELL
car,marketer,OBJECTIVE
signatory,state,EQUATIVE
chicken,feed,USER_RECIPIENT
industry,calm,OTHER
kidney,dialysis,OTHER
upside,potential,LOCATION
grace,period,TIME-OF2
party,organizer,OBJECTIVE
month,ending,MEASURE
discrimination,lawsuit,OTHER
computer,drive,WHOLE+PART_OR_MEMBER_OF
party,post,OWNER-USER
today,meeting,TIME-OF1
apartment,noise,LOCATION
cleaning,agent,PERFORM&ENGAGE_IN
plate,appearance,LOCATION
workforce,reduction,OBJECTIVE
ticket,sale,OBJECTIVE
cult,classic,LEXICALIZED
year,passage,MEASURE
birth,mother,OTHER
wish,list,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
mortgage,seeker,OBJECTIVE
hour,channel,MEASURE
misconduct,case,OTHER
family,greed,EXPERIENCER-OF-EXPERIENCE
arm,agreement,TOPIC
inflation,worry,TOPIC_OF_COGNITION&EMOTION
diaper,cover,OBJECTIVE
refining,margin,CREATOR-PROVIDER-CAUSE_OF
chip,sale,OBJECTIVE
government,fund,OWNER-USER
borrowing,authority,PERFORM&ENGAGE_IN
pedestrian,interview,OBJECTIVE
decibel,level,AMOUNT-OF
bank,blast,LOCATION
battle,zone,PERFORM&ENGAGE_IN
hitting,streak,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
brand,switcher,OBJECTIVE
