war,criminal,OTHER
business,use,SUBJECT
ticket,pricing,OBJECTIVE
tobacco,stock,RELATIONAL-NOUN-COMPLEMENT
laboratory,work,LOCATION
party,representative,EMPLOYER
index,trader,WHOLE+PART_OR_MEMBER_OF
highway,department,CREATE-PROVIDE-GENERATE-SELL
chest,disease,LOCATION
Gen.,Blumenthal,PERSONAL_TITLE
teaspoons,sugar,MEASURE
district,authorities,EMPLOYER
office,job,LOCATION
jail,overcrowding,LOCATION
city,policy,OTHER
softball,team,PERFORM&ENGAGE_IN
government,sale,SUBJECT
exchange,house,PERFORM&ENGAGE_IN
ice,sample,SUBSTANCE-MATERIAL-INGREDIENT
computer,market,PURPOSE
grain,yield,MEASURE
bank,earnings,OWNER-USER
staff,turnover,OBJECTIVE
alphabet,soup,SUBSTANCE-MATERIAL-INGREDIENT
animal,dung,USER_RECIPIENT
race,organizer,OBJECTIVE
labour,member,WHOLE+PART_OR_MEMBER_OF
morale,problem,OTHER
radiation,treatment,MEANS
surveillance,technology,PERFORM&ENGAGE_IN
bathing,suit,PERFORM&ENGAGE_IN
bomb,attack,MEANS
student,killing,OBJECTIVE
ticket,information,TOPIC
boundary,change,OBJECTIVE
reservoir,area,CONTAIN
interest,firm,CREATE-PROVIDE-GENERATE-SELL
publishing,industry,CREATE-PROVIDE-GENERATE-SELL
machine,dryer,OBJECTIVE
marketing,job,PERFORM&ENGAGE_IN
coffee,house,CREATE-PROVIDE-GENERATE-SELL
production,company,CREATE-PROVIDE-GENERATE-SELL
state,program,OWNER-USER
return,flight,EQUATIVE
market,operator,OBJECTIVE
capacity,utilisation,OBJECTIVE
supplier,credit,CREATOR-PROVIDER-CAUSE_OF
telecommunication,group,CREATE-PROVIDE-GENERATE-SELL
theater,location,CONTAIN
staff,worker,WHOLE+PART_OR_MEMBER_OF
appeal,hearing,TOPIC
care,organization,CREATE-PROVIDE-GENERATE-SELL
car,marketer,OBJECTIVE
signatory,state,EQUATIVE
chicken,feed,USER_RECIPIENT
industry,calm,OTHER
kidney,dialysis,OBJECTIVE
upside,potential,WHOLE+PART_OR_MEMBER_OF
grace,period,PERSONAL_NAME
party,organizer,OBJECTIVE
month,ending,MEASURE
discrimination,lawsuit,OTHER
computer,drive,USER_RECIPIENT
party,post,OWNER-USER
today,meeting,TIME-OF1
apartment,noise,WHOLE+PART_OR_MEMBER_OF
cleaning,agent,PERFORM&ENGAGE_IN
plate,appearance,OTHER
workforce,reduction,OBJECTIVE
ticket,sale,OBJECTIVE
cult,classic,OWNER-USER
year,passage,MEASURE
birth,mother,OTHER
wish,list,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
mortgage,seeker,OBJECTIVE
hour,channel,MEASURE
misconduct,case,OTHER
family,greed,OWNER-USER
arm,agreement,TOPIC
inflation,worry,TOPIC_OF_COGNITION&EMOTION
diaper,cover,OBJECTIVE
refining,margin,CREATOR-PROVIDER-CAUSE_OF
chip,sale,OBJECTIVE
government,fund,OWNER-USER
borrowing,authority,ORGANIZE&SUPERVISE&AUTHORITY
pedestrian,interview,OBJECTIVE
decibel,level,AMOUNT-OF
bank,blast,LOCATION
battle,zone,CONTAIN
