war,criminal,EQUATIVE
business,use,SUBJECT
ticket,pricing,OBJECTIVE
tobacco,stock,RELATIONAL-NOUN-COMPLEMENT
laboratory,work,LOCATION
party,representative,EMPLOYER
index,trader,OBJECTIVE
highway,department,ORGANIZE&SUPERVISE&AUTHORITY
chest,disease,LOCATION
Gen.,Blumenthal,PERSONAL_TITLE
teaspoons,sugar,MEASURE
district,authorities,LOCATION
office,job,LOCATION
jail,overcrowding,LOCATION
city,policy,OWNER-USER
softball,team,PERFORM&ENGAGE_IN
government,sale,SUBJECT
exchange,house,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
ice,sample,SUBSTANCE-MATERIAL-INGREDIENT
computer,market,PURPOSE
grain,yield,RELATIONAL-NOUN-COMPLEMENT
bank,earnings,OWNER-USER
staff,turnover,OBJECTIVE
alphabet,soup,MEANS
animal,dung,CREATOR-PROVIDER-CAUSE_OF
race,organizer,OBJECTIVE
labour,member,WHOLE+PART_OR_MEMBER_OF
morale,problem,TOPIC_OF_EXPERT
radiation,treatment,MEANS
surveillance,technology,PERFORM&ENGAGE_IN
bathing,suit,PERFORM&ENGAGE_IN
bomb,attack,MEANS
student,killing,OBJECTIVE
ticket,information,TOPIC
boundary,change,OBJECTIVE
reservoir,area,SUBSTANCE-MATERIAL-INGREDIENT
interest,firm,OTHER
publishing,industry,EQUATIVE
machine,dryer,EQUATIVE
marketing,job,PERFORM&ENGAGE_IN
coffee,house,CREATE-PROVIDE-GENERATE-SELL
production,company,PERFORM&ENGAGE_IN
state,program,OWNER-USER
return,flight,PERFORM&ENGAGE_IN
market,operator,OBJECTIVE
capacity,utilisation,OBJECTIVE
supplier,credit,CREATOR-PROVIDER-CAUSE_OF
telecommunication,group,PERFORM&ENGAGE_IN
theater,location,LOCATION
staff,worker,WHOLE+PART_OR_MEMBER_OF
appeal,hearing,TOPIC
care,organization,PERFORM&ENGAGE_IN
car,marketer,OBJECTIVE
signatory,state,EQUATIVE
chicken,feed,SUBJECT
industry,calm,RELATIONAL-NOUN-COMPLEMENT
kidney,dialysis,LOCATION
upside,potential,LOCATION
