end,user,0.15
firing,line,0.6592592
game,plan,0.2344828
application,form,0.04
snail,mail,0.737931
web,site,0.2428572
flea,market,0.6965518
grandfather,clock,0.4714286
diamond,wedding,0.6592592
guilt,trip,0.562963
silver,spoon,0.6962962
rush,hour,0.3333334
china,clay,0.2296296
cocktail,dress,0.3923076
mailing,list,0.0666666
spelling,bee,0.5103448
public,service,0.12
head,teacher,0.2
video,game,0.08
spinning,jenny,0.5448276
think,tank,0.5923076
cash,cow,0.6888888
swan,song,0.8344828
monkey,business,0.8551724
snake,oil,0.85
smoking,gun,0.8571428
balance,sheet,0.2275862
zebra,crossing,0.75
cutting,edge,0.75
radio,station,0.1066666
search,engine,0.336
shrinking,violet,0.7862068
face,value,0.3925926
human,being,0.0827586
sacred,cow,0.6962962
number,crunching,0.5481482
silver,screen,0.524138
melting,pot,0.8923076
kangaroo,court,0.7266666
ground,floor,0.0666666
rat,run,0.8413794
law,firm,0.12
polo,shirt,0.3266666
ivory,tower,0.9071428
lip,service,0.675862
health,insurance,0.12
couch,potato,0.7172414
chain,reaction,0.4137932
silver,bullet,0.8666666
graduate,student,0.02
cloud,nine,0.9333334
front,runner,0.4689656
agony,aunt,0.8482758
rock,bottom,0.5714286
acid,test,0.7555556
climate,change,0.0068966
lotus,position,0.5034482
sitting,duck,0.808
car,park,0.16
gold,mine,0.837037
gravy,train,0.937931
case,study,0.26
night,owl,0.6148148
pecking,order,0.662069
eye,candy,0.7034482
nest,egg,0.8444444
role,model,0.1777778
fashion,plate,0.2206896
crocodile,tear,0.75
rat,race,0.8285714
crash,course,0.5714286
rocket,science,0.7142858
memory,lane,0.5666666
smoking,jacket,0.536
interest,rate,0.0857142
engine,room,0.0137932
blame,game,0.456
brass,ring,0.2551724
panda,car,0.6384616
research,project,0.0357142
call,centre,0.0689656
graveyard,shift,0.6962962
credit,card,0.0666666
cheat,sheet,0.4214286
parking,lot,0.06
fine,line,0.462069
brick,wall,0.2413794
speed,limit,0.0344828
swimming,pool,0.0266666
bank,account,0.0533334
